Время;Устройство;Статус;Описание;Группа;Зарегистрировано;Имя виртуального Сервера

24 марта 2023 г. 0:28:47;ADUSHEV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:28:48;
24 марта 2023 г. 0:39:22;AGATITCKIY;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:39:23;
24 марта 2023 г. 13:23:31;BATALOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 13:23:33;
24 марта 2023 г. 6:21:29;DOGONASHEVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 6:21:29;
24 марта 2023 г. 0:40:11;DRONOV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department;24 марта 2023 г. 0:40:11;
24 марта 2023 г. 0:28:46;GULAI;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:28:46;
24 марта 2023 г. 11:29:39;GUROVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 11:29:40;
24 марта 2023 г. 0:39:34;IAKOBSON;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:39:35;
24 марта 2023 г. 0:38:44;KLEYMENOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:38:44;
24 марта 2023 г. 0:39:31;KOBELEVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:39:32;
24 марта 2023 г. 9:31:23;KOLESNIKOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 9:31:24;
24 марта 2023 г. 7:58:04;KOZLOV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department;24 марта 2023 г. 7:58:06;
24 марта 2023 г. 13:28:38;KRIVASOV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Home;24 марта 2023 г. 13:26:56;
24 марта 2023 г. 0:28:47;LISITSYN;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:28:46;
24 марта 2023 г. 0:38:47;LUDVINA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:38:48;
24 марта 2023 г. 0:28:47;MIKHAILOVSKAIA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:28:48;
24 марта 2023 г. 9:38:01;NOTEBOOK-ASTAHO;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 9:38:02;
24 марта 2023 г. 3:42:13;NOTEBOOK-BABKIN;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 3:42:13;
24 марта 2023 г. 11:53:47;NOTEBOOK-CHERNI;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 11:53:48;
24 марта 2023 г. 10:34:16;NOTEBOOK-EGAIDA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 10:34:17;
24 марта 2023 г. 11:02:03;NOTEBOOK-GAIDAR;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 11:02:04;
24 марта 2023 г. 11:05:03;NOTEBOOK-KALABI;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department Notebooks;24 марта 2023 г. 11:05:04;
24 марта 2023 г. 0:28:47;NOTEBOOK-KHROME;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department Notebooks;24 марта 2023 г. 0:28:47;
24 марта 2023 г. 10:35:12;NOTEBOOK-KIRZIE;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department Notebooks;24 марта 2023 г. 10:35:12;
24 марта 2023 г. 9:28:21;NOTEBOOK-MORDVI;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 9:28:23;
24 марта 2023 г. 0:28:56;NOTEBOOK-PARAGA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department Notebooks;24 марта 2023 г. 0:28:59;
24 марта 2023 г. 8:18:52;NOTEBOOK-PIMNEV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 8:18:53;
24 марта 2023 г. 0:28:51;NOTEBOOK-SITKOV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 0:28:51;
24 марта 2023 г. 11:02:31;NOTEBOOK-TOKAREV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 11:02:32;
24 марта 2023 г. 9:21:12;NOTEBOOK-ULYANO;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 9:21:13;
24 марта 2023 г. 11:49:48;NOTEBOOK-ZELENE;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Notebooks;24 марта 2023 г. 11:49:49;
24 марта 2023 г. 0:38:59;OZHUKOV;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department;24 марта 2023 г. 0:39:00;
24 марта 2023 г. 0:38:37;PAVLOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:38:38;
24 марта 2023 г. 0:40:25;SAMORODOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department;24 марта 2023 г. 0:40:25;
24 марта 2023 г. 0:34:01;SHEDRINA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:34:02;
24 марта 2023 г. 0:33:05;SIMONENKO;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:33:07;
24 марта 2023 г. 0:36:30;SLINKIN;Завершена успешно;Удаленная установка на устройстве завершена успешно.;IT Department;24 марта 2023 г. 0:36:30;
24 марта 2023 г. 0:39:16;SRAZHEVSKAYA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:39:17;
24 марта 2023 г. 0:39:49;SUKHOTINA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:39:50;
24 марта 2023 г. 10:09:29;TRICH;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 10:09:30;
24 марта 2023 г. 0:33:26;TUCHINOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:33:27;
24 марта 2023 г. 0:39:19;ZHELEZNOVA;Завершена успешно;Удаленная установка на устройстве завершена успешно.;Workstations;24 марта 2023 г. 0:39:20;
